id,title,genres,synopsis,rating,images,type
60d49aa889632c0013eada74,El Super Mandilon 2,['Comedy'],"Ahora El Supermandilon ya manda en su casa, aprovechándose de que su suegra esta en la cárcel, y su esposa le ha prometido obedecerle en todo; pero comienza a pasarse de la raya con sus parrandas y fiestecitas que organizan en su oficina.",TV-MA,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/60d49aa889632c0013eada74/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d75025c1e25001a260907,Los Legionarios,['Comedy'],"Viruta y Capulina huyen disfrazados de mujer de la legión extranjera, pero los confunden con esclavas y son vendidos para el harem del príncipe Omar. La odalisca Farida los descubre y avisa al sultán, quien los manda a decapitar.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d75025c1e25001a260907/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5f7754de07ce430013070926,En Peligro de la Muerte,['Comedy'],En el lejano oeste Capulina es un minero que trata de encontra oro. El pequeño pueblo de El Dorado es robado constantemente por dos bandas enemigas. Capulina encuentra la manera de enfrentar a las bandas y salvar el oro.,Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5f7754de07ce430013070926/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5851da7255220014441d4d,Dos Locos en Escena,['Comedy'],Durante el ensayo de una obra de teatro un actor pierde el conocimiento. Su compañero lo cree muerto y esconde el cuerpo en una caja. Capulina es el encargado de hacer la mudanza de las cajas y un juego de escondite se establece entre el y el “asesino.”,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5851da7255220014441d4d/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e584fc2ec9dd6001a98b06e,Dos Criados Malcriados,['Comedy'],"Capulina y Viruta entran a trabajar como sirvientes en la lujosa mansión de un millonario. Son torpes y casi arruínan la casa, pero al fin todos encuentran felicidad y amor con dos guapas sirvientas.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e584fc2ec9dd6001a98b06e/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d76044698db001ab2210d,El Hermano Capulina,['Comedy'],"Capulina abandona el digno oficio de limosnero, pero no por ello va a cometer la locura de trabajar. Va a dar a una orden de Frailes que se dedican a hacer la caridad y se enfrenta a los problemas de los Frailes y los de todos a su alrededor.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d76044698db001ab2210d/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
620a818de9e2e90013932d7d,Los tres mosqueteros y medio,['Comedy'],"Tin Tan se convierte en medio mosquetero, en esta película de capa y espada basada en la obra de Alejandro Dumas.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/620a818de9e2e90013932d7d/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
620bd4bce17acd001398a0aa,El Niño Sicario,['Crime'],Pedro es abandonado por sus padres en una central camionera de Sinaloa cuando apenas tenía 6 años. Pedro llega a los 15 años y se convierte en un desalmado sicario y rápidamente comienza a ascender en la organización.,PG-13,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/620bd4bce17acd001398a0aa/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d721a5c1e25001a260831,El Metiche,['Comedy'],Capulina es un metiche que causa peores problemas a la gente que los que ellos tienen antes de que Capulina trata de ayudarlos.,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d721a5c1e25001a260831/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d75016d961a001a2a5bc6,La Loca,['Drama'],Un joven psiquiatra se interesa en el caso de una paciente que cree vivir en el año 1936. Los parientes de ella quieren hacerla pasar por sana para poder cobrar una herencia de pero el médico lucha contra toda la familia para defender a 'La loca'.,TV-PG,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d75016d961a001a2a5bc6/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
